id,proportion,fatals
01001,1.44872421724,8
01003,1.64000799504,32
01005,2.59913857122,7
01007,2.21199787648,5
01009,0.866400970369,5
01011,5.61902978086,6
01013,3.43912744424,7
01015,1.28592003292,15
01017,2.64092256228,9
01019,3.4604737004,9
01021,3.87959560921,17
01023,2.23964165733,3
01025,1.59553250897,4
01027,0.738716111398,1
01029,3.99946673777,6
01031,1.96525430391,10
01033,2.57144956285,14
01035,4.66381655655,6
01037,2.72059490342,3
01039,1.58369846381,6
01041,2.15238915196,3
01043,3.08775396776,25
01045,1.60429952272,8
01047,1.89780329269,8
01049,1.68852366747,12
01051,2.2287433602,18
01053,5.27217609068,20
01055,1.34918952258,14
01057,1.18371212121,2
01059,1.58057785927,5
01061,2.6104792094,7
01063,9.198574221,8
01065,1.31095962244,2
01067,1.1592858799,2
01069,1.15903954257,12
01071,3.40522133939,18
01073,1.21391265292,80
01075,2.83025543055,4
01077,1.83314103324,17
01079,2.38194485798,8
01081,0.794796730736,12
01083,2.47733798773,22
01085,1.86185067958,2
01087,2.99730242781,6
01089,0.692764650529,24
01091,0.984930562395,2
01093,2.96179287195,9
01095,1.37831591001,13
01097,1.73807667332,72
01099,2.70063464914,6
01101,1.44649291218,33
01103,0.834822099411,10
01105,2.98864315601,3
01107,3.02175664786,6
01109,4.52420449404,15
01111,0.883080183681,2
01113,2.91585194333,17
01115,2.2128016398,19
01117,0.933523313516,19
01119,6.74612098044,9
01121,2.33309183786,19
01123,1.70096955265,7
01125,2.04531622584,41
01127,2.57876613625,17
01129,2.35335647467,4
01131,5.34045393858,6
01133,3.3153750518,8
02016,1.75932441942,1
02020,0.869254146509,26
02050,1.12511251125,2
02060,10.3092783505,1
02090,0.902662855423,9
02122,1.04856608588,6
02170,1.55960822641,15
02240,1.42267747902,1
02290,1.77179305457,1
04001,6.23925461705,45
04003,1.31125286354,17
04005,4.24283655569,58
04007,5.64281011944,30
04009,1.60397786511,6
04012,9.34349643472,19
04013,1.01788313656,409
04015,2.40949636609,49
04017,3.80842684105,41
04019,0.93136258346,93
04021,1.41108135012,55
04023,1.27461602192,6
04025,2.1759662216,47
04027,0.788227817545,16
05001,0.533874325984,1
05003,3.29737623063,7
05005,2.43664717349,10
05007,1.00756513489,24
05009,2.14897789239,8
05011,0.892379082634,1
05013,1.90657769304,1
05015,4.34231952234,12
05017,7.04659561349,8
05019,1.31862335722,3
05021,3.8961038961,6
05023,2.33363151958,6
05025,2.35017626322,2
05027,0.411065893863,1
05029,2.36854571293,5
05031,1.6763798085,17
05033,1.61948565136,10
05035,2.61227770521,13
05037,1.71752447472,3
05039,6.3548551093,5
05041,2.42345908393,3
05043,2.66808964781,5
05045,1.0892972357,13
05047,2.7986118885,5
05049,3.2722513089,4
05051,2.57854240155,25
05053,1.6616816218,3
05055,1.84408279932,8
05057,5.37249283668,12
05059,5.10265337976,17
05061,5.16414607156,7
05063,1.62372807967,6
05067,2.84139341933,5
05069,1.223690651,9
05071,0.385653682993,1
05073,1.37551581843,1
05075,2.9361677139,5
05077,5.01705799719,5
05079,2.13340918788,3
05081,3.14465408805,4
05083,1.81809917731,4
05085,1.83898940459,13
05087,4.4580308241,7
05089,4.25325069875,7
05091,2.51993035829,11
05093,0.891583452211,4
05095,3.88953714508,3
05097,5.4365553985,5
05099,1.13726828159,1
05101,1.24192747144,1
05103,2.39578342118,6
05105,3.88349514563,4
05107,1.96164974744,4
05109,0.901957247226,1
05111,3.3044196613,8
05113,5.89275191514,12
05115,1.43243673404,9
05119,1.28053106184,50
05121,1.1302627861,2
05123,3.291278113,9
05125,1.31771981763,15
05127,2.75988960442,3
05129,6.27746390458,5
05131,0.471427561227,6
05133,1.73731758165,3
05135,1.75901495163,3
05137,3.19693094629,4
05139,2.21494844092,9
05141,0.588166098106,1
05143,1.01648554742,22
05145,1.27129417747,10
05147,4.29614778748,3
05149,0.915960613694,2
06001,0.473191195111,75
06003,8.84173297966,1
06005,2.16245438573,8
06007,1.39285778473,31
06009,2.4571671097,11
06011,2.33688539914,5
06013,0.647770028867,71
06015,5.03814596229,14
06017,1.37292482413,25
06019,1.02430208968,98
06021,2.14064005138,6
06023,2.0735518462,28
06025,1.51510050167,27
06027,3.26566156861,6
06029,1.55936682776,135
06031,2.31791149552,35
06033,2.64970853206,17
06035,2.75693061725,9
06037,0.581766713939,584
06039,1.89311103423,29
06041,0.309658640057,8
06043,1.68643543763,3
06045,1.14228273782,10
06047,2.00845065085,53
06049,3.26655052265,3
06051,4.24148169094,6
06053,1.1436813937,49
06055,1.06917566556,15
06057,1.31885969362,13
06059,0.519885792003,162
06061,0.573331877252,21
06063,2.63629653063,5
06065,1.00955948394,232
06067,0.907334537655,133
06069,1.56366732109,9
06071,1.15525864666,242
06073,0.719804808793,232
06075,0.45197041259,38
06077,1.34075878479,95
06079,1.19341667963,33
06081,0.440745741795,33
06083,0.757141218309,33
06085,0.631641266302,118
06087,0.668454162613,18
06089,1.90005700171,34
06091,3.31016219795,1
06093,2.50598017997,11
06095,1.03346306426,44
06097,0.908947680971,45
06099,0.872257839417,46
06101,1.7848331181,17
06103,2.85026602483,18
