geoid,name,B01003001,"B01003001, Error"
05000US05067,"Jackson County, AR",17597,0
05000US05069,"Jefferson County, AR",73548,0
05000US05071,"Johnson County, AR",25930,0
05000US05073,"Lafayette County, AR",7270,0
05000US05075,"Lawrence County, AR",17029,0
05000US05077,"Lee County, AR",9966,0
05000US05079,"Lincoln County, AR",14062,0
05000US05081,"Little River County, AR",12720,0
05000US05083,"Logan County, AR",22001,0
05000US05085,"Lonoke County, AR",70691,0
05000US05087,"Madison County, AR",15702,0
05000US05089,"Marion County, AR",16458,0
05000US05091,"Miller County, AR",43652,0
05000US05093,"Mississippi County, AR",44864,0
05000US05095,"Monroe County, AR",7713,0
05000US05097,"Montgomery County, AR",9197,0
05000US05099,"Nevada County, AR",8793,0
05000US05101,"Newton County, AR",8052,0
05000US05103,"Ouachita County, AR",25044,0
05000US05105,"Perry County, AR",10300,0
05000US05107,"Phillips County, AR",20391,0
05000US05109,"Pike County, AR",11087,0
05000US05111,"Poinsett County, AR",24210,0
05000US05113,"Polk County, AR",20364,0
05000US05115,"Pope County, AR",62830,0
05000US05117,"Prairie County, AR",8402,0
05000US05119,"Pulaski County, AR",390463,0
05000US05121,"Randolph County, AR",17695,0
05000US05123,"St. Francis County, AR",27345,0
05000US05125,"Saline County, AR",113833,0
05000US05127,"Scott County, AR",10870,0
05000US05129,"Searcy County, AR",7965,0
05000US05131,"Sebastian County, AR",127273,0
05000US05133,"Sevier County, AR",17268,0
05000US05135,"Sharp County, AR",17055,0
05000US05137,"Stone County, AR",12512,0
05000US05139,"Union County, AR",40633,0
05000US05141,"Van Buren County, AR",17002,0
05000US05143,"Washington County, AR",216432,0
05000US05145,"White County, AR",78660,0
05000US05147,"Woodruff County, AR",6983,0
05000US05149,"Yell County, AR",21835,0
05000US06001,"Alameda County, CA",1584983,0
05000US06003,"Alpine County, CA",1131,167
05000US06005,"Amador County, CA",36995,0
05000US06007,"Butte County, CA",222564,0
05000US06009,"Calaveras County, CA",44767,0
05000US06011,"Colusa County, CA",21396,0
05000US06013,"Contra Costa County, CA",1096068,0
05000US06015,"Del Norte County, CA",27788,0
05000US06017,"El Dorado County, CA",182093,0
05000US06019,"Fresno County, CA",956749,0
05000US06021,"Glenn County, CA",28029,0
05000US06023,"Humboldt County, CA",135034,0
05000US06025,"Imperial County, CA",178206,0
05000US06027,"Inyo County, CA",18373,0
05000US06029,"Kern County, CA",865736,0
05000US06031,"Kings County, CA",150998,0
05000US06033,"Lake County, CA",64158,0
05000US06035,"Lassen County, CA",32645,0
05000US06037,"Los Angeles County, CA",10038388,0
05000US06039,"Madera County, CA",153187,0
05000US06041,"Marin County, CA",258349,0
05000US06043,"Mariposa County, CA",17789,0
05000US06045,"Mendocino County, CA",87544,0
05000US06047,"Merced County, CA",263885,0
05000US06049,"Modoc County, CA",9184,0
05000US06051,"Mono County, CA",14146,0
05000US06053,"Monterey County, CA",428441,0
05000US06055,"Napa County, CA",140295,0
05000US06057,"Nevada County, CA",98570,0
05000US06059,"Orange County, CA",3116069,0
05000US06061,"Placer County, CA",366280,0
05000US06063,"Plumas County, CA",18966,0
05000US06065,"Riverside County, CA",2298032,0
05000US06067,"Sacramento County, CA",1465832,0
05000US06069,"San Benito County, CA",57557,0
05000US06071,"San Bernardino County, CA",2094769,0
05000US06073,"San Diego County, CA",3223096,0
05000US06075,"San Francisco County, CA",840763,0
05000US06077,"San Joaquin County, CA",708554,0
05000US06079,"San Luis Obispo County, CA",276517,0
05000US06081,"San Mateo County, CA",748731,0
05000US06083,"Santa Barbara County, CA",435850,0
05000US06085,"Santa Clara County, CA",1868149,0
05000US06087,"Santa Cruz County, CA",269278,0
05000US06089,"Shasta County, CA",178942,0
05000US06091,"Sierra County, CA",3021,167
05000US06093,"Siskiyou County, CA",43895,0
05000US06095,"Solano County, CA",425753,0
05000US06097,"Sonoma County, CA",495078,0
05000US06099,"Stanislaus County, CA",527367,0
05000US06101,"Sutter County, CA",95247,0
05000US06103,"Tehama County, CA",63152,0
05000US06105,"Trinity County, CA",13373,0
05000US06107,"Tulare County, CA",454033,0
05000US06109,"Tuolumne County, CA",54079,0
05000US06111,"Ventura County, CA",840833,0
05000US06113,"Yolo County, CA",207320,0
05000US06115,"Yuba County, CA",73437,0
05000US08001,"Adams County, CO",471206,0
05000US08003,"Alamosa County, CO",16269,0
05000US08005,"Arapahoe County, CO",608310,0
05000US08007,"Archuleta County, CO",12174,0
05000US08009,"Baca County, CO",3701,0
05000US08011,"Bent County, CO",5895,0
05000US08013,"Boulder County, CO",310032,0
05000US08014,"Broomfield County, CO",60699,0
05000US08015,"Chaffee County, CO",18309,0
05000US08017,"Cheyenne County, CO",2002,144
05000US08019,"Clear Creek County, CO",9136,0
05000US08021,"Conejos County, CO",8249,0
05000US08023,"Costilla County, CO",3581,0
05000US08025,"Crowley County, CO",5551,0
05000US08027,"Custer County, CO",4303,0
05000US08029,"Delta County, CO",30214,0
05000US08031,"Denver County, CO",649654,0
05000US08033,"Dolores County, CO",1862,144
05000US08035,"Douglas County, CO",306974,0
05000US08037,"Eagle County, CO",52576,0
05000US08039,"Elbert County, CO",23855,0
05000US08041,"El Paso County, CO",655024,0
05000US08043,"Fremont County, CO",46809,0
05000US08045,"Garfield County, CO",57076,0
05000US08047,"Gilpin County, CO",5605,0
05000US08049,"Grand County, CO",14411,0
05000US08051,"Gunnison County, CO",15651,0
05000US08053,"Hinsdale County, CO",874,88
05000US08055,"Huerfano County, CO",6502,0
05000US08057,"Jackson County, CO",1335,121
05000US08059,"Jefferson County, CO",552344,0
05000US08061,"Kiowa County, CO",1463,121
05000US08063,"Kit Carson County, CO",7980,0
05000US08065,"Lake County, CO",7362,0
05000US08067,"La Plata County, CO",53182,0
05000US08069,"Larimer County, CO",318227,0
05000US08071,"Las Animas County, CO",14503,0
05000US08073,"Lincoln County, CO",5478,0
05000US08075,"Logan County, CO",21928,0
05000US08077,"Mesa County, CO",147834,0
05000US08079,"Mineral County, CO",733,89
05000US08081,"Moffat County, CO",13117,0
05000US08083,"Montezuma County, CO",25700,0
05000US08085,"Montrose County, CO",40815,0
05000US08087,"Morgan County, CO",28359,0
05000US08089,"Otero County, CO",18572,0
05000US08091,"Ouray County, CO",4580,0
05000US08093,"Park County, CO",16189,0
05000US08095,"Phillips County, CO",4371,0
05000US08097,"Pitkin County, CO",17420,0
05000US08099,"Prowers County, CO",12235,0
05000US08101,"Pueblo County, CO",161519,0
05000US08103,"Rio Blanco County, CO",6712,0
05000US08105,"Rio Grande County, CO",11745,0
05000US08107,"Routt County, CO",23606,0
05000US08109,"Saguache County, CO",6238,0
05000US08111,"San Juan County, CO",606,92
05000US08113,"San Miguel County, CO",7676,0
05000US08115,"Sedgwick County, CO",2365,0
05000US08117,"Summit County, CO",28940,0
05000US08119,"Teller County, CO",23340,0
05000US08121,"Washington County, CO",4795,0
05000US08123,"Weld County, CO",270948,0
05000US08125,"Yuma County, CO",10185,0
05000US09001,"Fairfield County, CT",939983,0
05000US09003,"Hartford County, CT",896943,0
05000US09005,"Litchfield County, CT",186304,0
05000US09007,"Middlesex County, CT",165165,0
05000US09009,"New Haven County, CT",862224,0
05000US09011,"New London County, CT",273185,0
05000US09013,"Tolland County, CT",151948,0
05000US09015,"Windham County, CT",117470,0
05000US10001,"Kent County, DE",169509,0
05000US10003,"New Castle County, DE",549643,0
05000US10005,"Sussex County, DE",207302,0
05000US11001,"District of Columbia, DC",647484,0
05000US12001,"Alachua County, FL",254218,0
05000US12003,"Baker County, FL",27135,0
05000US12005,"Bay County, FL",175353,0
05000US12007,"Bradford County, FL",27223,0
05000US12009,"Brevard County, FL",553591,0
05000US12011,"Broward County, FL",1843152,0
05000US12013,"Calhoun County, FL",14615,0
05000US12015,"Charlotte County, FL",165783,0
05000US12017,"Citrus County, FL",139654,0
05000US12019,"Clay County, FL",197417,0
05000US12021,"Collier County, FL",341091,0
05000US12023,"Columbia County, FL",67806,0
05000US12027,"DeSoto County, FL",34957,0
05000US12029,"Dixie County, FL",16091,0
05000US12031,"Duval County, FL",890673,0
05000US12033,"Escambia County, FL",306327,0
05000US12035,"Flagler County, FL",100783,0
05000US12037,"Franklin County, FL",11628,0
05000US12039,"Gadsden County, FL",46424,0
05000US12041,"Gilchrist County, FL",16992,0
05000US12043,"Glades County, FL",13272,0
05000US12045,"Gulf County, FL",15785,0
05000US12047,"Hamilton County, FL",14395,0
05000US12049,"Hardee County, FL",27468,0
05000US12051,"Hendry County, FL",38363,0
05000US12053,"Hernando County, FL",174809,0
05000US12055,"Highlands County, FL",98328,0
05000US12057,"Hillsborough County, FL",1302884,0
05000US12059,"Holmes County, FL",19635,0
05000US12061,"Indian River County, FL",142866,0
05000US12063,"Jackson County, FL",48900,0
05000US12065,"Jefferson County, FL",14198,0
05000US12067,"Lafayette County, FL",8801,0
05000US12069,"Lake County, FL",310561,0
05000US12071,"Lee County, FL",663675,0
05000US12073,"Leon County, FL",282940,0
05000US12075,"Levy County, FL",39821,0
05000US12077,"Liberty County, FL",8295,0
05000US12079,"Madison County, FL",18729,0
05000US12081,"Manatee County, FL",343729,0
05000US12083,"Marion County, FL",336811,0
05000US12085,"Martin County, FL",151586,0
05000US12086,"Miami-Dade County, FL",2639042,0
05000US12087,"Monroe County, FL",75901,0
05000US12089,"Nassau County, FL",75880,0
05000US12091,"Okaloosa County, FL",192237,0
05000US12093,"Okeechobee County, FL",39255,0
05000US12095,"Orange County, FL",1229039,0
05000US12097,"Osceola County, FL",300870,0
05000US12099,"Palm Beach County, FL",1378806,0
05000US12101,"Pasco County, FL",479288,0
05000US12103,"Pinellas County, FL",931477,0
05000US12105,"Polk County, FL",626676,0
05000US12107,"Putnam County, FL",72696,0
05000US12109,"St. Johns County, FL",210495,0
05000US12111,"St. Lucie County, FL",288006,0
05000US12113,"Santa Rosa County, FL",161021,0
05000US12115,"Sarasota County, FL",392038,0
05000US12117,"Seminole County, FL",437346,0
05000US12119,"Sumter County, FL",108501,0
05000US12121,"Suwannee County, FL",43595,0
05000US12123,"Taylor County, FL",22685,0
05000US12125,"Union County, FL",15191,0
05000US12127,"Volusia County, FL",503719,0
05000US12129,"Wakulla County, FL",31128,0
05000US12131,"Walton County, FL",59487,0
05000US12133,"Washington County, FL",24629,0
05000US13001,"Appling County, GA",18417,0
05000US13003,"Atkinson County, GA",8294,0
05000US13005,"Bacon County, GA",11222,0
05000US13007,"Baker County, GA",3292,0
05000US13009,"Baldwin County, GA",45795,0
05000US13011,"Banks County, GA",18336,0
05000US13013,"Barrow County, GA",72012,0
05000US13015,"Bartow County, GA",101336,0
05000US13017,"Ben Hill County, GA",17477,0
05000US13019,"Berrien County, GA",19019,0
05000US13021,"Bibb County, GA",154816,0
05000US13023,"Bleckley County, GA",12746,0
05000US13025,"Brantley County, GA",18452,0
05000US13027,"Brooks County, GA",15637,0
05000US13029,"Bryan County, GA",33151,0
05000US13031,"Bulloch County, GA",72386,0
05000US13033,"Burke County, GA",23007,0
05000US13035,"Butts County, GA",23445,0
05000US13037,"Calhoun County, GA",6489,0
05000US13039,"Camden County, GA",51445,0
05000US13043,"Candler County, GA",11031,0
05000US13045,"Carroll County, GA",112595,0
05000US13047,"Catoosa County, GA",65375,0
